Date,Open,High,Low,Close,Volume,Adj Close
2009-09-30,22.86,23.71,22.63,23.03,30198700,23.03
2009-09-29,22.84,23.23,22.60,23.03,17204700,23.03
2009-09-28,23.38,23.43,22.57,22.85,15689500,22.85
2009-09-25,23.58,23.76,23.22,23.63,23980100,23.63
2009-09-24,22.66,23.55,22.58,23.21,28408100,23.21
2009-09-23,22.44,22.92,22.07,22.86,26534800,22.86
2009-09-22,22.45,22.79,22.43,22.60,16683600,22.60
2009-09-21,23.07,23.16,22.57,22.73,19479700,22.73
2009-09-18,22.72,23.10,22.67,22.85,18257700,22.85
2009-09-17,23.02,23.15,22.65,22.95,25105000,22.95
2009-09-16,23.41,23.57,22.86,22.93,22590700,22.93
2009-09-15,23.78,23.88,23.45,23.63,18551800,23.63
2009-09-14,24.28,24.31,23.72,23.75,17074900,23.75
2009-09-11,23.94,24.30,23.84,23.94,15588900,23.94
2009-09-10,24.43,24.57,23.94,24.01,17868800,24.01
2009-09-09,24.87,25.06,24.22,24.45,22127400,24.45
2009-09-08,25.00,25.25,24.84,24.88,13209500,24.88
2009-09-04,26.40,26.48,25.34,25.40,17397600,25.40
2009-09-03,26.59,27.18,26.42,26.46,11406100,26.46
2009-09-02,27.07,27.15,26.56,26.83,15144600,26.83
2009-09-01,26.05,26.97,25.14,26.80,27379900,26.80
2009-08-31,25.72,26.16,25.67,25.83,14300200,25.83
2009-08-28,24.81,25.71,24.55,25.37,21959600,25.37
2009-08-27,25.52,26.32,25.31,25.40,21912700,25.40
2009-08-26,25.52,25.81,25.15,25.51,18238800,25.51
2009-08-25,25.46,25.60,24.95,25.48,20742100,25.48
2009-08-24,25.46,25.78,25.18,25.60,19455900,25.60
2009-08-21,25.93,26.27,25.45,25.54,19733600,25.54
2009-08-20,26.93,27.00,26.14,26.24,14454500,26.24
2009-08-19,27.89,27.94,26.75,26.89,22671600,26.89
2009-08-18,27.71,27.87,27.14,27.25,18739700,27.25
2009-08-17,27.38,28.07,27.37,28.02,23196100,28.02
2009-08-14,26.15,26.96,26.08,26.49,17214000,26.49
2009-08-13,25.90,26.52,25.83,25.91,19213300,25.91
2009-08-12,27.14,27.14,25.74,26.18,29081400,26.18
2009-08-11,26.84,27.33,26.73,27.06,20428400,27.06
2009-08-10,26.42,26.94,26.27,26.53,17782700,26.53
2009-08-07,26.18,26.61,25.97,26.19,27766700,26.19
2009-08-06,26.37,27.09,26.19,26.88,21330100,26.88
2009-08-05,25.94,26.80,25.93,26.46,21357300,26.46
2009-08-04,26.29,26.40,25.87,26.06,25314300,26.06
2009-08-03,26.30,26.59,26.03,26.08,23661600,26.08
2009-07-31,26.70,26.92,26.32,26.84,25489500,26.84
2009-07-30,26.48,26.78,25.86,26.63,27822400,26.63
2009-07-29,27.05,27.47,26.91,26.99,23005900,26.99
2009-07-28,27.24,27.57,26.68,26.84,28762900,26.84
2009-07-27,27.08,27.65,26.91,26.98,24284400,26.98
2009-07-24,27.59,27.79,26.98,27.02,32430300,27.02
