Date,Open,High,Low,Close,Volume,Adj Close
2009-09-30,51.33,51.83,49.43,50.97,13649300,50.97
2009-09-29,51.35,51.90,50.47,50.94,8341400,50.94
2009-09-28,50.23,51.96,50.13,51.37,6970200,51.37
2009-09-25,49.88,50.60,49.43,49.69,9208500,49.69
2009-09-24,51.91,52.09,49.87,50.57,10330300,50.57
2009-09-23,52.42,53.27,51.33,51.45,13680000,51.45
2009-09-22,52.40,52.43,51.62,51.99,8504800,51.99
2009-09-21,50.98,52.10,50.80,51.77,8062000,51.77
2009-09-18,51.79,51.90,50.96,51.55,7268700,51.55
2009-09-17,51.11,51.93,50.85,51.30,11074000,51.30
2009-09-16,50.29,51.49,49.97,51.34,9968900,51.34
2009-09-15,49.53,50.23,49.33,49.88,10186800,49.88
2009-09-14,48.51,49.63,48.47,49.55,8285400,49.55
2009-09-11,49.21,49.42,48.49,49.16,9016000,49.16
2009-09-10,48.25,49.20,47.99,49.08,8182200,49.08
2009-09-09,47.40,48.66,47.05,48.18,10871100,48.18
2009-09-08,47.22,47.47,46.75,47.39,7039100,47.39
2009-09-04,44.74,46.57,44.63,46.46,9210400,46.46
2009-09-03,44.43,44.73,43.52,44.58,7946200,44.58
2009-09-02,43.68,44.51,43.56,43.98,10718300,43.98
2009-09-01,45.45,47.09,43.84,44.07,17826800,44.07
2009-08-31,46.07,46.20,45.26,45.77,9457300,45.77
2009-08-28,47.76,48.24,46.13,46.76,13043900,46.76
2009-08-27,46.46,46.81,44.99,46.65,10857000,46.65
2009-08-26,46.43,47.14,45.94,46.46,10402500,46.46
2009-08-25,46.58,47.48,46.33,46.58,11156300,46.58
2009-08-24,46.58,47.06,46.00,46.27,10987200,46.27
2009-08-21,45.78,46.59,45.20,46.34,11154900,46.34
2009-08-20,44.13,45.39,43.97,45.22,8460200,45.22
2009-08-19,42.60,44.39,42.48,44.15,9639300,44.15
2009-08-18,42.88,43.74,42.67,43.54,8638600,43.54
2009-08-17,43.55,43.55,42.33,42.35,13019700,42.35
2009-08-14,45.63,45.77,44.19,44.97,10311400,44.97
2009-08-13,46.07,46.21,45.01,46.02,11480400,46.02
2009-08-12,44.10,46.33,44.05,45.56,13509400,45.56
2009-08-11,44.53,44.73,43.70,44.20,12527600,44.20
2009-08-10,45.24,45.50,44.37,45.01,9582600,45.01
2009-08-07,45.69,46.02,44.95,45.50,13039000,45.50
2009-08-06,45.43,45.73,44.16,44.48,12743200,44.48
2009-08-05,46.18,46.20,44.65,45.27,14286900,45.27
2009-08-04,45.58,46.30,45.36,45.90,11544000,45.90
2009-08-03,45.63,46.03,45.10,45.93,12830000,45.93
2009-07-31,44.92,45.55,44.55,44.58,12573000,44.58
