Date,Close,Close,Close
9/30/2009,42.25,50.97,23.03
9/29/2009,42.22,50.94,23.03
9/28/2009,42.41,51.37,22.85
9/25/2009,41.7,49.69,23.63
9/24/2009,42.07,50.57,23.21
9/23/2009,42.45,51.45,22.86
9/22/2009,42.65,51.99,22.6
9/21/2009,42.57,51.77,22.73
9/18/2009,42.44,51.55,22.85
9/17/2009,42.41,51.3,22.95
9/16/2009,42.42,51.34,22.93
9/15/2009,41.81,49.88,23.63
9/14/2009,41.68,49.55,23.75
9/11/2009,41.52,49.16,23.94
9/10/2009,41.48,49.08,24.01
9/9/2009,41.09,48.18,24.45
9/8/2009,40.74,47.39,24.88
9/4/2009,40.36,46.46,25.4
9/3/2009,39.51,44.58,26.46
9/2/2009,39.25,43.98,26.83
9/1/2009,39.28,44.07,26.8
8/31/2009,40.03,45.77,25.83
8/28/2009,40.44,46.76,25.37
8/27/2009,40.4,46.65,25.4
8/26/2009,40.3,46.46,25.51
8/25/2009,40.37,46.58,25.48
8/24/2009,40.25,46.27,25.6
8/21/2009,40.29,46.34,25.54
8/20/2009,39.76,45.22,26.24
8/19/2009,39.3,44.15,26.89
8/18/2009,39.03,43.54,27.25
8/17/2009,38.48,42.35,28.02
8/14/2009,39.63,44.97,26.49
8/13/2009,40.09,46.02,25.91
8/12/2009,39.87,45.56,26.18
8/11/2009,39.26,44.2,27.06
8/10/2009,39.6,45.01,26.53
8/7/2009,39.88,45.5,26.19
8/6/2009,39.38,44.48,26.88
8/5/2009,39.73,45.27,26.46
8/4/2009,40.04,45.9,26.06
8/3/2009,40.04,45.93,26.08
7/31/2009,39.45,44.58,26.84
7/30/2009,39.57,44.89,26.63
7/29/2009,39.34,44.38,26.99
7/28/2009,39.47,44.74,26.84
7/27/2009,39.35,44.45,26.98
7/24/2009,39.35,44.38,27.02
7/23/2009,39.35,44.42,27.01
7/22/2009,38.5,42.5,28.34
7/21/2009,38.18,41.9,28.77
7/20/2009,37.92,41.26,29.15
7/17/2009,37.56,40.47,29.77
7/16/2009,37.36,40.04,30.08
7/15/2009,36.92,39.1,30.87
7/14/2009,35.72,36.66,33.01
7/13/2009,35.59,36.4,33.32
7/10/2009,34.92,35.1,34.55
7/9/2009,34.77,34.75,34.9
7/8/2009,34.71,34.68,34.93
7/7/2009,34.53,34.37,35.4
7/6/2009,35.41,36.18,33.74
7/2/2009,35.6,36.52,33.33
7/1/2009,36.4,38.16,31.88
6/30/2009,36.38,38.1,32.02
6/29/2009,36.45,38.26,31.86
6/26/2009,36.37,38.15,31.95
6/25/2009,36.29,38.01,32.17
6/24/2009,35.59,36.52,33.5
6/23/2009,35,35.37,34.59
6/22/2009,35.08,35.57,34.58
6/19/2009,36.16,37.7,32.63
6/18/2009,35.82,36.87,33.28
6/17/2009,35.89,37.06,33.16
6/16/2009,35.55,36.45,33.82
6/15/2009,35.9,37.1,33.15
6/12/2009,36.65,38.77,31.84
6/11/2009,36.82,39.05,31.59
6/10/2009,36.82,39.09,31.59
6/9/2009,36.95,39.4,31.35
6/8/2009,36.67,38.75,31.81
6/5/2009,36.78,39.05,31.61
6/4/2009,36.74,38.95,31.7
6/3/2009,36.33,38.18,32.47
6/2/2009,36.44,38.28,32.29
6/1/2009,36.39,38.28,32.29
5/29/2009,35.38,36.1,34.38
5/28/2009,34.95,35.33,35.15
5/27/2009,34.55,34.4,36.05
5/26/2009,34.79,34.98,35.57
5/22/2009,33.54,32.5,38.35
5/21/2009,33.65,32.75,38.14
5/20/2009,34.28,33.99,36.83
5/19/2009,34.4,34.27,36.61
5/18/2009,34.24,33.88,36.89
5/15/2009,33.37,32.17,38.95
5/14/2009,33.39,32.24,38.93
5/13/2009,33.02,31.56,39.82
5/12/2009,33.93,33.41,37.73
5/11/2009,34.35,34.26,36.93
5/8/2009,34.23,34.05,37.2
5/7/2009,34.21,33.93,37.2
5/6/2009,35.03,35.63,35.52
5/5/2009,35.02,35.64,35.56
5/4/2009,35.05,35.75,35.44
5/1/2009,34.37,34.3,37.01
4/30/2009,34.28,34.12,37.11
4/29/2009,33.94,33.48,37.88
4/28/2009,33.48,32.61,39
4/27/2009,33.73,33.07,38.42
4/24/2009,33.69,33.04,38.36
4/23/2009,33.11,31.98,39.99
4/22/2009,32.79,31.33,40.71
4/21/2009,32.69,31.05,41.04
4/20/2009,32.24,30.18,42.12
4/17/2009,33.31,32.26,39.61
4/16/2009,33.24,32.24,39.91
4/15/2009,32.4,30.72,42
4/14/2009,32.49,30.76,41.77
4/13/2009,32.89,31.57,40.77
4/9/2009,32.94,31.65,40.6
4/8/2009,31.95,29.86,43.25
4/7/2009,31.42,28.77,44.82
4/6/2009,32.27,30.44,42.62
4/3/2009,32.35,30.62,42.36
4/2/2009,31.76,29.54,44.18
4/1/2009,30.77,27.76,47.11
3/31/2009,30.32,27.01,48.5
3/30/2009,30.06,26.41,49.41
3/27/2009,30.82,27.82,47.07
3/26/2009,31.41,28.98,45.4
3/25/2009,30.47,27.27,48.46
3/24/2009,30.33,27.09,48.88
3/23/2009,30.9,28.08,47.21
3/20/2009,29.18,25.12,53.45
3/19/2009,29.68,25.87,51.85
3/18/2009,29.7,25.88,51.96
3/17/2009,29.33,25.24,53.41
3/16/2009,28.26,23.47,57.72
3/13/2009,28.74,24.36,55.73
3/12/2009,28.67,24.18,56.21
3/11/2009,27.75,22.65,60.17
3/10/2009,27.33,21.99,62.1
3/9/2009,25.74,19.6,70.81
3/6/2009,26.3,20.53,67.95
3/5/2009,26.51,20.85,66.78
3/4/2009,27.33,22.13,63.27
3/3/2009,26.62,21.06,66.65
3/2/2009,26.64,21.1,66.7
2/27/2009,27.53,22.52,62.65
2/26/2009,27.79,23,61.42
2/25/2009,28.59,24.32,58.26
2/24/2009,28.78,24.6,57.66
2/23/2009,27.86,23.16,61.61
2/20/2009,28.87,24.87,57.48
2/19/2009,28.79,24.8,57.95
2/18/2009,29.24,25.53,56.16
2/17/2009,29.22,25.6,56.16
2/13/2009,30.43,27.7,52.22
2/12/2009,30.57,28,51.56
2/11/2009,30.2,27.38,52.85
2/10/2009,30.34,27.58,52.48
2/9/2009,31.5,29.82,48.91
2/6/2009,31.37,29.49,49.36
2/5/2009,30.57,28.06,52.1
2/4/2009,29.91,26.84,54.48
2/3/2009,29.87,26.82,54.67
2/2/2009,29.41,25.99,56.4
1/30/2009,29.06,25.33,57.85
1/29/2009,29.58,26.33,55.81
1/28/2009,30.35,27.66,53.17
1/27/2009,29.32,25.93,57.1
1/26/2009,29.11,25.51,58.04
1/23/2009,28.9,25.13,58.95
1/22/2009,28.76,25.03,59.55
1/21/2009,29.15,25.57,58.05
1/20/2009,27.96,23.75,63.12
1/16/2009,29.42,26.25,57.73
1/15/2009,29.1,25.61,59.24
1/14/2009,28.63,24.88,60.88
1/13/2009,29.53,26.47,57.42
1/12/2009,29.52,26.5,57.45
1/9/2009,30.07,27.52,55.29
1/8/2009,30.76,28.8,53.03
1/7/2009,30.44,28.19,54.1
1/6/2009,31.33,29.86,51.35
1/5/2009,31.02,29.26,52.34
1/2/2009,31.03,29.26,52.49
12/31/2008,29.74,26.89,57.35
12/30/2008,29.49,26.42,58.37
12/29/2008,28.89,25.27,61.01
12/26/2008,29.13,25.93,59.91
12/24/2008,29.14,25.91,60.07
12/23/2008,29.06,25.84,60.05
12/22/2008,29.21,26.17,68.82
12/19/2008,29.86,27.23,66.19
12/18/2008,29.66,26.93,67.12
12/17/2008,30.19,27.83,65.1
12/16/2008,30.56,28.5,63.63
12/15/2008,29.16,26.05,70.31
12/12/2008,29.68,26.99,68.13
12/11/2008,29.09,25.98,70.93
12/10/2008,29.91,27.5,67.26
12/9/2008,30.01,27.53,67.1
12/8/2008,30.08,27.75,66.89
12/5/2008,28.94,25.71,72.61
12/4/2008,27.81,23.8,78.81
12/3/2008,28.62,25.15,74.9
12/2/2008,27.83,23.95,79.25
12/1/2008,26.93,22.51,85.07
11/28/2008,29.12,26.44,73.86
11/26/2008,29.35,26.77,73.19
11/25/2008,28.17,24.73,79.8
11/24/2008,28.3,24.9,79.19
11/21/2008,26.67,22.25,90.11
11/20/2008,25.56,20.63,98.6
11/19/2008,26.86,22.7,90.25
11/18/2008,28.34,25.32,81.51
11/17/2008,28.37,25.55,81.39
11/14/2008,28.98,26.58,78.4
