Date,Open,High,Low,Close,Volume,Adj Close
2009-09-30,24.46,25.52,24.34,25.05,26686600,25.05
2009-09-29,24.34,24.81,24.00,24.72,16912300,24.72
2009-09-28,25.90,26.01,24.44,24.48,19827600,24.48
2009-09-25,26.14,26.59,25.69,26.19,27622200,26.19
2009-09-24,24.51,26.05,24.39,25.74,30040100,25.74
2009-09-23,23.80,24.82,23.59,24.77,21856900,24.77
2009-09-22,24.30,24.52,23.82,23.90,16914600,23.90
2009-09-21,24.88,25.10,24.68,24.91,13894900,24.91
2009-09-18,24.23,24.75,24.13,24.46,15676400,24.46
2009-09-17,24.28,24.74,23.70,24.44,29977700,24.44
2009-09-16,25.65,25.75,24.23,24.27,24027300,24.27
2009-09-15,26.02,26.56,25.48,25.88,27631500,25.88
2009-09-14,27.37,27.42,25.97,26.09,21268900,26.09
2009-09-11,26.36,26.86,26.28,26.75,18269800,26.75
2009-09-10,27.09,27.71,26.41,26.49,22073200,26.49
2009-09-09,27.63,27.79,26.75,26.91,22424900,26.91
2009-09-08,27.35,28.09,27.26,27.65,17750700,27.65
2009-09-04,28.33,28.90,28.05,28.11,18490600,28.11
2009-09-03,29.21,29.61,28.37,28.49,21354100,28.49
2009-09-02,29.69,29.91,28.92,29.77,29517700,29.77
2009-09-01,26.95,29.29,26.44,29.15,41180900,29.15
2009-08-31,27.33,27.36,26.59,26.65,23605200,26.65
2009-08-28,26.09,27.01,25.98,26.41,23854100,26.41
2009-08-27,27.11,27.67,26.43,26.50,21014000,26.50
2009-08-26,27.18,27.63,26.73,27.04,21860500,27.04
2009-08-25,27.17,27.19,26.32,27.00,22401400,27.00
2009-08-24,26.49,27.74,26.21,27.61,24567900,27.61
2009-08-21,27.74,27.98,26.89,27.16,20161200,27.16
2009-08-20,29.63,29.66,28.30,28.39,16499200,28.39
2009-08-19,30.66,30.75,29.47,29.72,20902800,29.72
2009-08-18,30.28,30.44,29.52,29.78,17119700,29.78
