Date,Open,High,Low,Close,Volume,Adj Close
2009-09-30,6.03,6.06,5.78,5.91,33472700,5.91
2009-09-29,6.07,6.15,5.95,5.98,31749100,5.98
2009-09-28,5.72,6.04,5.71,6.04,29543200,6.04
2009-09-25,5.68,5.78,5.57,5.67,36342400,5.67
2009-09-24,6.07,6.09,5.66,5.76,53816900,5.76
2009-09-23,6.28,6.32,6.00,6.01,37630500,6.00
2009-09-22,6.16,6.26,6.09,6.24,30596000,6.23
2009-09-21,6.00,6.05,5.95,5.99,28472800,5.98
2009-09-18,6.16,6.19,6.04,6.09,27390300,6.08
2009-09-17,6.16,6.30,6.04,6.11,54728500,6.10
2009-09-16,5.85,6.17,5.82,6.17,51006600,6.16
2009-09-15,5.76,5.88,5.65,5.79,39319100,5.78
2009-09-14,5.48,5.77,5.47,5.75,29004700,5.74
2009-09-11,5.70,5.71,5.59,5.61,27580000,5.60
2009-09-10,5.54,5.68,5.42,5.68,29875600,5.67
2009-09-09,5.45,5.61,5.41,5.59,33958700,5.58
2009-09-08,5.50,5.52,5.36,5.44,28573400,5.43
2009-09-04,5.32,5.36,5.21,5.35,27798500,5.34
2009-09-03,5.17,5.29,5.10,5.29,29224300,5.28
2009-09-02,5.08,5.22,5.05,5.07,38191000,5.06
2009-09-01,5.66,5.77,5.15,5.19,70352600,5.18
2009-08-31,5.57,5.73,5.56,5.72,30269200,5.71
2009-08-28,5.83,5.87,5.64,5.77,34102400,5.76
2009-08-27,5.61,5.77,5.51,5.74,35944000,5.73
2009-08-26,5.60,5.70,5.51,5.64,36673200,5.63
2009-08-25,5.62,5.75,5.61,5.65,38833100,5.64
2009-08-24,5.76,5.83,5.50,5.52,56184500,5.51
2009-08-21,5.51,5.68,5.47,5.63,51145000,5.62
2009-08-20,5.18,5.41,5.17,5.40,38161900,5.39
2009-08-19,4.99,5.20,4.98,5.15,41514700,5.14
2009-08-18,5.07,5.19,5.05,5.14,37612500,5.13
2009-08-17,5.10,5.11,4.96,5.00,47720900,4.99
2009-08-14,5.46,5.48,5.25,5.41,40596700,5.40
2009-08-13,5.45,5.50,5.27,5.47,43079700,5.46
2009-08-12,5.08,5.39,5.07,5.30,51856700,5.29
2009-08-11,5.41,5.43,5.10,5.14,60683300,5.13
2009-08-10,5.55,5.61,5.37,5.47,47945800,5.46
2009-08-07,5.41,5.72,5.36,5.55,77237100,5.54
2009-08-06,5.49,5.52,5.19,5.24,79674400,5.23
2009-08-05,5.07,5.37,5.02,5.30,62817100,5.29
2009-08-04,4.77,5.06,4.75,5.02,59875300,5.01
2009-08-03,4.77,4.83,4.71,4.83,43254000,4.82
2009-07-31,4.52,4.62,4.48,4.59,33530000,4.58
2009-07-30,4.42,4.63,4.41,4.51,52858300,4.50
2009-07-29,4.31,4.38,4.28,4.33,29461700,4.32
2009-07-28,4.32,4.39,4.29,4.35,31360900,4.34
2009-07-27,4.27,4.39,4.23,4.38,33176900,4.37
2009-07-24,4.19,4.29,4.15,4.25,33299900,4.24
2009-07-23,4.05,4.32,4.02,4.26,60207900,4.25
2009-07-22,3.91,4.11,3.90,4.04,44504600,4.03
2009-07-21,4.10,4.12,3.95,4.05,36453600,4.04
2009-07-20,4.07,4.12,4.04,4.09,36776800,4.08
2009-07-17,4.09,4.11,3.97,4.02,34282900,4.01
2009-07-16,4.01,4.14,3.95,4.09,45418800,4.08
2009-07-15,3.89,4.15,3.88,4.07,69175700,4.06
2009-07-14,3.82,3.83,3.69,3.78,47957300,3.77
2009-07-13,3.55,3.81,3.50,3.81,57237500,3.80
2009-07-10,3.43,3.47,3.38,3.42,31406300,3.42
2009-07-09,3.52,3.57,3.45,3.50,33424100,3.50
2009-07-08,3.55,3.56,3.27,3.41,62652000,3.41
2009-07-07,3.66,3.67,3.51,3.53,31920300,3.53
2009-07-06,3.58,3.67,3.52,3.66,39952400,3.66
2009-07-02,3.83,3.83,3.64,3.65,40657100,3.65
2009-07-01,3.95,3.99,3.90,3.90,21609900,3.89
2009-06-30,4.00,4.01,3.86,3.86,35221100,3.85
2009-06-29,3.92,4.00,3.84,3.99,31992100,3.98
2009-06-26,3.84,3.94,3.80,3.91,31678800,3.90
2009-06-25,3.67,3.86,3.64,3.86,32145600,3.85
2009-06-24,3.73,3.82,3.66,3.72,46133500,3.72
2009-06-23,3.62,3.71,3.54,3.66,43343900,3.64
2009-06-22,3.90,3.94,3.58,3.58,54492500,3.56
2009-06-19,3.95,4.02,3.87,4.00,32880700,3.98
2009-06-18,3.76,3.91,3.74,3.87,35259700,3.85
2009-06-17,3.87,3.90,3.67,3.73,59031100,3.71
2009-06-16,4.08,4.09,3.89,3.91,43201500,3.89
2009-06-15,4.19,4.21,4.02,4.03,38705400,4.01
2009-06-12,4.23,4.28,4.19,4.28,22987000,4.26
2009-06-11,4.20,4.34,4.18,4.22,47077300,4.20
2009-06-10,4.35,4.35,4.09,4.19,45461900,4.17
2009-06-09,4.29,4.32,4.21,4.29,33449100,4.27
2009-06-08,4.15,4.33,4.12,4.26,37155700,4.24
2009-06-05,4.39,4.42,4.15,4.22,53852700,4.20
2009-06-04,4.10,4.29,4.07,4.26,51089200,4.24
2009-06-03,4.06,4.12,3.95,4.03,48442900,4.01
2009-06-02,4.17,4.20,4.07,4.12,48747000,4.10
2009-06-01,4.21,4.35,4.13,4.27,91668300,4.25
2009-05-29,4.00,4.12,3.90,4.11,52629100,4.09
2009-05-28,3.85,3.98,3.71,3.90,70009000,3.88
2009-05-27,4.09,4.10,3.75,3.79,69351200,3.77
2009-05-26,3.68,4.05,3.68,4.05,80896400,4.03
2009-05-22,3.90,3.90,3.75,3.78,45405600,3.76
2009-05-21,3.73,3.91,3.70,3.84,77754800,3.82
2009-05-20,4.18,4.23,3.78,3.84,91843600,3.82
2009-05-19,4.20,4.30,3.99,4.02,88674500,4.00
2009-05-18,3.90,4.24,3.87,4.20,85212300,4.18
2009-05-15,3.88,3.95,3.67,3.75,68040700,3.73
2009-05-14,3.62,3.95,3.60,3.90,89215200,3.88
2009-05-13,3.87,3.92,3.63,3.68,94616400,3.66
2009-05-12,4.32,4.33,3.83,4.13,124916900,4.11
2009-05-11,4.42,4.56,4.19,4.24,107552400,4.22
2009-05-08,4.34,4.76,4.22,4.74,139593100,4.72
2009-05-07,4.76,4.76,4.04,4.18,191812900,4.16
2009-05-06,4.08,4.46,4.05,4.41,162853900,4.39
2009-05-05,3.90,4.04,3.84,3.91,87708400,3.89
2009-05-04,3.50,4.04,3.50,4.03,110251800,4.01
2009-05-01,3.50,3.58,3.38,3.42,57718500,3.41
